Reference,Qty,Value,Manufacturer No,Order code,DNP,Exclude from BOM,Supplier,Exclude from Board,Footprint,Datasheet,Unit Price (inc VAT),Subtotal
"C1,C9",2,22n,MCRR25223X7RK0100,CA05511,,,CPC,,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~, œ0.11 , œ0.22 
C2,1,1n,MCRR50102X7RK0100,CA05516,,,CPC,,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~, œ0.17 , œ0.17 
C4,1,100p,MCRR25101COGJ0100,CA05503,,,CPC,,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~, œ0.07 , œ0.07 
C5,1,2.2u,50ML2R2MEFC4X5,CA07533,,,CPC,,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~, œ0.26 , œ0.26 
"C6,C7",2,4.7u,50MS54R7M0557,CA05565,,,CPC,,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~, œ0.18 , œ0.36 
C8,1,3.3n,MCRR50332X7RK0100,CA06300,,,CPC,,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~, œ0.16 , œ0.16 
"C10,C13,C19",3,1u,MCGPR50V105M5X11,CA04763,,,CPC,,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~, œ0.25 , œ0.75 
C11,1,100u,25YXJ100M5X11,CA09737,,,CPC,,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~, œ0.11 , œ0.11 
C12,1,0.1u,K104K15X7RF53L2,CA06802,,,CPC,,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~, œ0.12 , œ0.12 
C14,1,10u,MCGPR25V106M5X11,CA04744,,,CPC,,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~, œ0.28 , œ0.28 
C15,1,22u,MCGPR25V226M5X11,CA04745,,,CPC,,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~, œ0.29 , œ0.29 
C16,1,68p,K680J15C0GF53L2,CA06821,,,CPC,,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~, œ0.16 , œ0.16 
C17,1,47p,K470J15C0GF53L2,CA06814,,,CPC,,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~, œ0.17 , œ0.17 
C18,1,470n,MCRR50474Z5UM0050,CA05523,,,CPC,,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~, œ0.25 , œ0.25 
C20,1,220n,MCRR50224X7RK0050,CA05521,,,CPC,,Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm,~, œ0.31 , œ0.31 
C21,1,470n,MCRR50474Z5UM0050,CA05523,,,CPC,,Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm,~, œ0.25 , œ0.25 
C22,1,33p,K330J15C0GF53L2,CA06806,,,CPC,,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~, œ0.38 , œ0.38 
"D1,D2",2,1N914,1N914,SC08157,,,CPC,,PCM_Diode_THT_AKL:D_DO-35_SOD27_P7.62mm_Horizontal,https://datasheet.octopart.com/1N914ATR-ON-Semiconductor-datasheet-42765246.pdf, œ0.04 , œ0.08 
D3,1,1N4002,1N4002G,SC17771,,,CPC,,PCM_Diode_THT_AKL:D_DO-41_SOD81_P7.62mm_Horizontal,https://www.tme.eu/Document/5f8ffc5ac30fc86bac97d66040bf5502/1n400x.pdf, œ0.06 , œ0.06 
"D4,D5,D6",3,Red,MP006838,SC19413,,,CPC,,PCM_SparkFun-LED:LED_5mm_PTH_Red_NoSilk,https://cdn.sparkfun.com/assets/e/c/e/c/5/COM-09590-YSL-R531R3D-D2.pdf, œ0.07 , œ0.21 
