"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C9","2","22n","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C2","1","1n","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C3,C23,C24,C25,C26","5","10n","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C4","1","100p","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C5,C6,C18","3","1u","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C8","1","68p","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C12","1","0.1u","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"Cp7","1","4.7u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"Cp11","1","100u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"Cp13","1","47u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"Cp14","1","10u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"Cp15","1","22u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"Cp19","1","1u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1,D2","2","1N914","","","","PCM_Diode_THT_AKL:D_DO-35_SOD27_P7.62mm_Horizontal","https://datasheet.octopart.com/1N914ATR-ON-Semiconductor-datasheet-42765246.pdf"
"D3","1","1N4002","","","","PCM_Diode_THT_AKL:D_DO-41_SOD81_P7.62mm_Horizontal","https://www.tme.eu/Document/5f8ffc5ac30fc86bac97d66040bf5502/1n400x.pdf"
"D4","1","Red","","","","PCM_LED_THT_AKL:LED_D5.0mm","https://cdn.sparkfun.com/assets/e/c/e/c/5/COM-09590-YSL-R531R3D-D2.pdf"
"D5,D6","2","Red","","","","PCM_LED_THT_AKL:LED_D3.0mm","https://cdn.sparkfun.com/assets/e/c/e/c/5/COM-09590-YSL-R531R3D-D2.pdf"
"D7,D8","2","BAT41","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85659/bat41.pdf"
"J1,J2","2","AudioJack2","","","","Connector_Wire:SolderWire-0.75sqmm_1x02_P7mm_D1.25mm_OD3.5mm","~"
"J3,J4","2","Conn_01x08_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"J6","1","Barrel_Jack","","","","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm","~"
"J8,J9,SP1,SP2","4","Conn_01x02_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"Q1","1","J111","","","","PCM_Package_TO_SOT_THT_AKL:TO-92_Inline_Wide_DSG","https://www.tme.eu/Document/2ab8d7a6d6d8a209f9d7deeb52763e9f/J111.pdf"
"R1,R2,R8,R14,R19,R23,R25","7","1M","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3,R6","2","1K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R4,R10","2","47","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5","1","560","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7,R11,R12,R15,R20,R22,R24","7","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R9","1","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R13","1","2.2k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R16,R17,R18","3","22k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R21","1","27k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R26,R27","2","47k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"RV1-GAIN1,RV3-VOLWet1,RV4-VOLDry1","3","100K","","","","Daves customs:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","~"
"RV2-TILT1","1","100K","","","","Potentiometer_THT:Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical","~"
"S1","1","SWITCH-3PDT","","","","Daves customs:3PDT_fixed",""
"SW1","1","SW_DPDT_x2","","","","Daves customs:DPDT_fixed","~"
"SW8","1","SW_Rotary2x6","","","","Daves customs:RS26","http://cdn-reichelt.de/documents/datenblatt/C200/DS-Serie%23LOR.pdf"
"TP2","1","Pre-gain","","","","TestPoint:TestPoint_Pad_D2.0mm","~"
"TP3","1","Post-gain","","","","TestPoint:TestPoint_Pad_D2.0mm","~"
"U1","1","OP07CP","","","","PCM_Package_DIP_AKL:DIP-8_W7.62mm_LongPads","http://web.mit.edu/6.301/www/LM108.pdf"
"U2,U3","2","TL072ACP","","","","PCM_Package_DIP_AKL:DIP-8_W7.62mm_LongPads","https://www.ti.com/lit/ds/symlink/tl072h.pdf?ts=1635057479364"
